2025-10-25 18:24:10 - CargaMySQL_20251025_182410 - INFO - Iniciando CargaMySQL
2025-10-25 18:24:10 - CargaMySQL_20251025_182410 - INFO - Clase CargaMySQL inicializada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Iniciando operación: carga de datos transformados
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: listings - 22,109 registros, 90 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: reviews - 1,388,031 registros, 13 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: calendar - 9,636,365 registros, 12 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Operación carga de datos transformados completada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - INICIANDO CARGA COMPLETA EN MYSQL
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - ==================================================
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Iniciando operación: conexion a MySQL en localhost
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Conexion exitosa a MySQL: localhost/airbnb
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Operación conexion a MySQL completada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Iniciando operación: carga de datos transformados
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: listings - 22,109 registros, 90 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: reviews - 1,388,031 registros, 13 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: calendar - 9,636,365 registros, 12 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Operación carga de datos transformados completada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Iniciando operación: insercion de datos en MySQL
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Insertando tabla: listings
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Tabla `listings` creada o ya existe
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Chunk 1 insertado: 1000 registros
2025-10-25 18:24:24 - CargaMySQL_20251025_182410 - INFO - Chunk 2 insertado: 1000 registros
2025-10-25 18:24:24 - CargaMySQL_20251025_182410 - INFO - Chunk 3 insertado: 1000 registros
2025-10-25 18:24:24 - CargaMySQL_20251025_182410 - INFO - Chunk 4 insertado: 1000 registros
2025-10-25 18:24:24 - CargaMySQL_20251025_182410 - INFO - Chunk 5 insertado: 1000 registros
2025-10-25 18:24:24 - CargaMySQL_20251025_182410 - INFO - Chunk 6 insertado: 1000 registros
2025-10-25 18:24:25 - CargaMySQL_20251025_182410 - INFO - Chunk 7 insertado: 1000 registros
2025-10-25 18:24:25 - CargaMySQL_20251025_182410 - INFO - Chunk 8 insertado: 1000 registros
2025-10-25 18:24:25 - CargaMySQL_20251025_182410 - INFO - Chunk 9 insertado: 1000 registros
2025-10-25 18:24:25 - CargaMySQL_20251025_182410 - INFO - Chunk 10 insertado: 1000 registros
2025-10-25 18:24:25 - CargaMySQL_20251025_182410 - INFO - Chunk 11 insertado: 1000 registros
2025-10-25 18:24:26 - CargaMySQL_20251025_182410 - INFO - Chunk 12 insertado: 1000 registros
2025-10-25 18:24:26 - CargaMySQL_20251025_182410 - INFO - Chunk 13 insertado: 1000 registros
